,Value
2022-07-15,113214.57316264778
2022-07-18,113437.33917865479
2022-07-19,113475.81354021636
2022-07-20,113995.9220045256
2022-07-21,115229.45048682537
2022-07-22,115388.67993281562
2022-07-25,115774.65921242782
2022-07-26,114669.30171575834
2022-07-27,115932.55915063998
2022-07-28,118210.8276381892
2022-07-29,120567.53584700296
2022-08-01,122012.60429882628
2022-08-02,122262.89581725284
2022-08-03,122035.2476908341
2022-08-04,122487.03584861376
2022-08-05,122507.70675441538
2022-08-08,123418.97762123887
2022-08-10,123620.71222900446
2022-08-11,124325.36572750243
2022-08-12,124512.82986004226
2022-08-16,125509.47371103044
2022-08-17,126293.6514756893
2022-08-18,126644.18718016698
2022-08-19,124966.56709205419
2022-08-22,123153.76297796023
2022-08-23,124481.89159447349
2022-08-24,124685.2683114659
2022-08-25,124226.294242801
2022-08-26,125847.70403418515
2022-08-29,125409.04200540381
2022-08-30,127599.96515116333
2022-09-01,127695.17926201406
2022-09-02,128388.15795051264
2022-09-05,128883.98170268582
2022-09-06,129312.1698430419
2022-09-07,130038.27459979657
2022-09-08,130654.01369623227
2022-09-09,130461.18996789794
2022-09-12,132495.58094635044
2022-09-13,133224.36522064812
2022-09-14,133057.2288707095
2022-09-15,133552.96014419742
2022-09-16,130881.46074057145
2022-09-19,131496.4115444435
2022-09-20,132946.61011750472
2022-09-21,131130.57930500375
2022-09-22,132111.1558242483
2022-09-23,129627.92182574526
2022-09-26,127071.59464148822
2022-09-27,126787.26690636939
2022-09-28,126624.31717312704
2022-09-29,126553.43440630364
2022-09-30,126950.76984107574
2022-10-03,127380.61319635416
2022-10-04,127582.4954783353
2022-10-06,128047.0616121035
2022-10-07,128031.03213615484
2022-10-10,127089.59631673487
2022-10-11,125961.62313318028
2022-10-12,125902.22963600674
2022-10-13,125927.98664236137
2022-10-14,125791.44850342884
2022-10-17,125727.7624535478
2022-10-18,126446.15544858907
2022-10-19,126332.66536840313
2022-10-20,126716.52925081292
2022-10-21,126083.48680634132
2022-10-24,126584.1449315576
2022-10-25,127457.32343711297
2022-10-27,128332.59934170722
2022-10-28,128307.3165579307
