,Value
2018-01-15,1340556.8871812902
2018-01-16,1328046.092883774
2018-01-17,1339369.2955621083
2018-01-18,1328787.4906457267
2018-01-19,1337059.8612259699
2018-01-22,1342913.6259117061
2018-01-23,1357135.119558412
2018-01-24,1350119.034604659
2018-01-25,1356575.7607111332
2018-01-29,1363645.8893739532
2018-01-30,1358125.1640042085
2018-01-31,1352149.8791646168
2018-02-01,1352189.4004445854
2018-02-02,1319375.0411330848
2018-02-05,1312214.6245609864
2018-02-06,1297419.0512625205
2018-02-07,1299579.6502397435
2018-02-08,1303226.206899665
2018-02-09,1309703.4388771614
2018-02-12,1311580.922921269
2018-02-14,1318125.1358068506
2018-02-15,1320241.4832380943
2018-02-16,1322795.9311287403
2018-02-19,1323289.3235833428
2018-02-20,1323228.6904791228
2018-02-21,1325589.5932406972
2018-02-22,1326016.418962574
2018-02-23,1332970.8353368216
2018-02-26,1334585.8060058027
2018-02-27,1327832.995779257
2018-02-28,1331517.9326564418
2018-03-01,1332878.1996056163
2018-03-05,1335422.7304546093
2018-03-06,1347989.3831248197
2018-03-07,1360184.478725135
2018-03-08,1369474.4116047283
2018-03-09,1389334.1805143892
2018-03-12,1394608.8759700381
2018-03-13,1402218.2037234528
2018-03-14,1405574.9291909207
2018-03-15,1412453.9186231846
2018-03-16,1417698.759616912
2018-03-19,1422657.626227214
2018-03-20,1422532.548133637
2018-03-21,1425338.9473653259
2018-03-22,1425354.3762173806
2018-03-23,1435841.7446308027
2018-03-26,1455449.209900613
2018-03-27,1462404.857817105
2018-03-28,1466051.6144340257
2018-04-02,1467462.5048487226
2018-04-03,1472350.2031138039
2018-04-04,1487411.888164786
2018-04-05,1515891.4301429237
2018-04-06,1520442.17885439
2018-04-09,1527117.4283497494
2018-04-10,1532046.1309103924
2018-04-11,1538927.3593470356
2018-04-12,1529114.2385873299
2018-04-13,1531907.831898396
2018-04-16,1539575.9644222737
2018-04-17,1547717.7413948018
2018-04-18,1542416.5716294795
2018-04-19,1543300.8857335672
2018-04-20,1545088.9735074688
2018-04-23,1551006.195268661
2018-04-24,1554731.3502184406
2018-04-25,1555682.6911252146
2018-04-26,1564974.7686962145
2018-04-27,1563254.9018864396
2018-04-30,1574164.5910586314
2018-05-02,1551366.8177135526
2018-05-03,1549533.6318952274
2018-05-04,1541335.53460744
2018-05-07,1557607.6930137454
2018-05-08,1555145.6922147274
2018-05-09,1554515.7905831358
2018-05-10,1546082.3966129397
2018-05-11,1549557.3528590829
2018-05-14,1537729.1957520058
2018-05-15,1542978.490028249
2018-05-16,1541594.9735158803
2018-05-17,1535654.7517964013
2018-05-18,1520106.3622508198
2018-05-21,1503358.8039157127
2018-05-22,1506342.0603984515
2018-05-23,1518170.6964227725
2018-05-24,1524941.780637945
2018-05-25,1531329.5056992627
2018-05-28,1541796.8938015148
2018-05-29,1539581.8372349588
2018-05-30,1545535.232654864
2018-05-31,1557475.4351368821
2018-06-01,1546458.0468193174
2018-06-04,1537068.2394433029
2018-06-05,1527235.8449109066
2018-06-06,1547241.6394417952
2018-06-07,1560557.587664025
2018-06-08,1564608.3596439832
2018-06-11,1567766.8587007276
2018-06-12,1578588.6460784522
2018-06-13,1587009.2412676986
2018-06-14,1578195.876054043
2018-06-15,1578896.7499006868
2018-06-18,1575938.927662989
2018-06-19,1561069.5863736172
2018-06-20,1572512.511984074
2018-06-21,1565311.509310928
2018-06-22,1578641.904075305
2018-06-25,1568035.40123222
2018-06-26,1563183.9749478132
2018-06-27,1548226.37067793
2018-06-28,1541711.7443696172
2018-06-29,1548551.138939669
2018-07-02,1536875.7583349615
2018-07-03,1538565.3341466412
2018-07-04,1547421.6612117472
2018-07-05,1543455.096334434
2018-07-06,1543902.521032036
2018-07-09,1551864.6587795469
2018-07-10,1562094.2792905169
2018-07-11,1563519.9615622843
2018-07-12,1576635.100814645
2018-07-13,1580051.0080336952
2018-07-16,1562072.316021718
2018-07-17,1571835.8550529322
2018-07-18,1559599.9155977878
2018-07-19,1565122.0631819856
2018-07-20,1578724.8780534924
2018-07-23,1597018.857983284
2018-07-24,1609478.396886904
2018-07-25,1614163.7410907415
2018-07-26,1615770.886329717
2018-07-27,1620577.6899354283
2018-07-30,1632829.8159278021
2018-07-31,1641902.4358787283
2018-08-01,1640018.8368699565
2018-08-02,1636807.8933002395
2018-08-03,1645961.38085007
2018-08-06,1650272.24725601
2018-08-07,1642257.0781192402
2018-08-08,1656822.2924270835
2018-08-09,1658641.6214252226
2018-08-10,1649145.7017073713
2018-08-13,1644847.1279478613
2018-08-14,1667305.6184677032
2018-08-16,1666217.2526968594
2018-08-17,1678352.5534379957
2018-08-20,1692311.2223772225
2018-08-21,1693724.068691658
2018-08-23,1694087.4463636684
2018-08-24,1692696.371795694
2018-08-27,1705458.6567484613
2018-08-28,1721738.2312520836
2018-08-29,1719065.0014398713
2018-08-30,1723815.7348773803
2018-08-31,1724835.685022201
2018-09-03,1703205.5383100193
2018-09-04,1689100.6537640777
2018-09-05,1683682.0000494558
2018-09-06,1720665.1164175696
2018-09-07,1728845.5781134665
2018-09-10,1705268.156163091
2018-09-11,1687045.059750187
2018-09-12,1695601.8321380157
2018-09-14,1713913.6833749763
2018-09-17,1705257.194261328
2018-09-18,1690701.1236041768
2018-09-19,1689231.7649572247
2018-09-21,1694466.5170274307
2018-09-24,1716539.4774486804
2018-09-25,1723138.6589755942
2018-09-26,1728338.1608167994
2018-09-27,1735709.1395792519
2018-09-28,1750367.7931694882
2018-10-01,1758377.2601521865
2018-10-03,1779072.358820868
2018-10-04,1814379.5787381998
2018-10-05,1863468.764879176
2018-10-08,1868021.9061458334
2018-10-09,1874224.700231542
2018-10-10,1876031.7591265058
2018-10-11,1894268.306798682
2018-10-12,1898260.0797447055
2018-10-15,1909045.6993058664
2018-10-16,1916678.206431552
2018-10-17,1928748.528951561
2018-10-19,1934018.7883243104
2018-10-22,1940417.5594919866
2018-10-23,1947664.8175483616
2018-10-24,1958564.946200809
2018-10-25,1963990.8003361193
2018-10-26,1969799.9301786372
2018-10-29,1976479.0062533717
2018-10-30,1989462.931939622
2018-10-31,1996809.9267119982
2018-11-01,2003678.0512170363
2018-11-02,2019126.1717859572
2018-11-05,2055757.3138213125
2018-11-06,2082877.5243331501
2018-11-07,2080208.4243313232
2018-11-09,2091887.734154966
2018-11-12,2090895.0651998417
2018-11-13,2106473.665804925
2018-11-14,2124071.07501345
2018-11-15,2131579.3507762924
2018-11-16,2152933.4908890324
2018-11-19,2158482.109926512
2018-11-20,2130817.389207994
2018-11-21,2138482.2880658233
2018-11-22,2140878.530055045
2018-11-26,2152019.816604841
2018-11-27,2171141.8924622885
2018-11-28,2162066.3621453075
2018-11-29,2192713.7527308157
2018-11-30,2181791.7073975736
2018-12-03,2198812.7256250796
2018-12-04,2176297.156066917
2018-12-05,2155157.0475012194
2018-12-06,2115183.7117492626
2018-12-07,2116049.1811362403
2018-12-10,2128439.772192791
2018-12-11,2140333.3830612265
2018-12-12,2150133.1850198386
2018-12-13,2161023.1844870183
2018-12-14,2167746.937774897
2018-12-17,2173130.6345337015
2018-12-18,2184599.474725296
2018-12-19,2201323.016692876
2018-12-20,2197189.2544356664
2018-12-21,2172950.7118247757
2018-12-24,2154720.4494582326
2018-12-26,2169248.837207298
2018-12-27,2167722.4220511983
2018-12-28,2186190.8701083334
2018-12-31,2186906.7787217023
2019-01-02,2160320.124203413
2019-01-03,2139703.0413162424
2019-01-04,2143122.823236095
2019-01-07,2151171.0149514307
2019-01-08,2157713.110764394
2019-01-09,2152657.273281608
2019-01-10,2153981.0206077797
2019-01-11,2143077.4865879505
2019-01-14,2137334.658963283
2019-01-15,2137823.7682746924
2019-01-16,2141247.236169709
2019-01-17,2139720.7020248785
2019-01-18,2128969.9548952263
2019-01-21,2128909.641543637
2019-01-22,2119299.876854856
2019-01-23,2109400.763318729
2019-01-24,2108200.7073226515
2019-01-25,2084330.0676273655
2019-01-28,2089157.194469658
2019-01-29,2092501.9604965171
2019-01-30,2100751.9975847346
2019-01-31,2100847.4199667093
2019-02-01,2109263.516315572
2019-02-04,2107430.198832955
2019-02-05,2113501.218242544
2019-02-06,2135673.9522257037
2019-02-07,2133991.4192051273
2019-02-08,2111418.3328688415
2019-02-11,2085052.0847751962
2019-02-12,2090082.6537399313
2019-02-14,2049449.6253764462
2019-02-15,2065053.965250247
2019-02-18,2073535.5501568553
2019-02-19,2080425.2007150217
2019-02-20,2091092.7091622374
2019-02-21,2096342.852132596
2019-02-22,2096891.2338599188
2019-02-25,2100307.684000939
2019-02-26,2095962.1037549872
2019-02-27,2094071.493214874
2019-02-28,2092078.1473250284
2019-03-01,2099678.927184418
2019-03-05,2126709.584475504
2019-03-06,2145661.879608337
2019-03-07,2135102.413701508
2019-03-08,2138384.7490933263
2019-03-11,2171215.3110489952
2019-03-12,2195857.212705838
2019-03-13,2185068.1525744866
2019-03-14,2193815.0800372898
2019-03-15,2199678.683288753
2019-03-18,2210385.701578168
2019-03-19,2224268.0403122264
2019-03-20,2196499.7366451784
2019-03-22,2181527.7227303917
2019-03-25,2170046.146826649
2019-03-26,2201590.7846493525
2019-03-27,2183374.4390403107
2019-03-28,2202002.4821150973
2019-04-01,2239723.1594124176
2019-04-02,2230339.2558588646
2019-04-03,2209240.7015255927
2019-04-04,2202908.6875511263
2019-04-05,2211094.266456691
2019-04-08,2198230.616219007
2019-04-09,2212210.9161305875
2019-04-10,2191618.703434195
2019-04-11,2195640.4825408882
2019-04-12,2198675.247967226
2019-04-15,2218209.2175637037
2019-04-16,2232729.8546525436
2019-04-18,2228778.887462489
2019-04-22,2203381.848752378
2019-04-23,2194463.068961705
2019-04-24,2220185.3863774776
2019-04-25,2218949.634137238
2019-04-26,2232053.574532708
2019-04-30,2231517.9320202796
2019-05-02,2220827.8008117788
2019-05-03,2227747.149098086
2019-05-06,2208478.252286038
2019-05-07,2179125.7541715726
2019-05-08,2163449.9181586937
2019-05-09,2175833.8683997123
2019-05-10,2199918.9440452945
2019-05-13,2214616.158681252
2019-05-14,2234469.519489022
2019-05-15,2240094.419665818
2019-05-16,2254267.3875340126
2019-05-17,2257263.590398357
2019-05-20,2359132.019920007
2019-05-21,2327510.3836497245
2019-05-22,2340963.6037842613
2019-05-23,2342343.2539568497
2019-05-24,2385442.6303395554
2019-05-27,2412167.772755631
2019-05-28,2402530.8749473016
2019-05-29,2374661.9910811656
2019-05-30,2390868.4817179455
2019-05-31,2392818.872681796
2019-06-03,2437882.564146859
2019-06-04,2419521.4318561186
2019-06-06,2403918.926544885
2019-06-07,2410131.4071199717
2019-06-10,2413947.7168027046
2019-06-11,2418897.261007544
2019-06-12,2408931.493611432
2019-06-13,2414740.251237551
2019-06-14,2393748.5197904566
2019-06-17,2359491.191442487
2019-06-18,2368931.0014882805
2019-06-19,2360603.354721064
2019-06-20,2407576.6514452826
2019-06-21,2384211.450649735
2019-06-24,2388596.380589685
2019-06-25,2406671.622950102
2019-06-26,2415219.1189982984
2019-06-27,2423828.683289244
2019-06-28,2419948.991519588
2019-07-01,2418287.5247356715
2019-07-02,2426545.0658489573
2019-07-03,2428811.470594361
2019-07-04,2423736.1465245914
2019-07-05,2383654.1088122595
2019-07-08,2319017.5649544364
2019-07-09,2338001.7156910077
2019-07-10,2358189.2598141627
2019-07-11,2363287.4763736255
2019-07-12,2368817.5785614047
2019-07-15,2386682.21642234
2019-07-16,2390350.9613461485
2019-07-17,2390326.099056792
2019-07-18,2393297.725883681
2019-07-19,2396784.4985843427
2019-07-22,2395711.3510399335
2019-07-23,2397437.078592201
2019-07-24,2402776.46293707
2019-07-25,2423470.6571537196
2019-07-26,2427806.6968540004
2019-07-29,2440157.8728895006
2019-07-30,2455606.4952557473
2019-07-31,2458041.5002879193
2019-08-01,2474841.216668179
2019-08-02,2484336.965461715
2019-08-05,2486920.2007130734
2019-08-06,2492108.051879209
2019-08-07,2502776.2093746187
2019-08-08,2501930.331054902
2019-08-09,2503313.7276473064
2019-08-13,2526754.7126143775
