,Value
2022-10-17,120481.7667383223
2022-10-18,121292.08588990406
2022-10-19,121115.29023795386
2022-10-20,121268.23405355573
2022-10-21,119919.8969447632
2022-10-24,120457.69512807934
2022-10-25,121290.83518007504
2022-10-27,122118.1367385259
2022-10-28,121946.69459227599
2022-10-31,122987.81660296037
2022-11-01,124649.51182106047
2022-11-02,124112.28015358454
2022-11-03,124441.84826787763
2022-11-04,126164.1468293387
2022-11-07,127678.29549064321
2022-11-09,126872.96055712269
2022-11-10,125643.03538546397
2022-11-11,126002.30971775163
2022-11-14,126116.4366510444
2022-11-15,126712.28120301226
2022-11-16,126383.96047480179
2022-11-17,126351.10663159452
2022-11-18,125456.31555905059
2022-11-21,125226.78452689238
2022-11-22,126118.43266992296
2022-11-23,125869.28023181489
2022-11-24,126719.33010620049
2022-11-25,126937.5036587968
2022-11-28,127216.28774685375
2022-11-29,127351.65094732566
2022-11-30,127985.45168639324
2022-12-01,128583.29398619922
2022-12-02,128625.79105809641
2022-12-05,128864.1992152257
2022-12-06,128656.94811644513
2022-12-07,127725.96667522023
2022-12-08,127822.18373312571
2022-12-09,127360.31541439703
2022-12-12,127635.15075397403
2022-12-13,128229.67984923633
2022-12-14,128449.8230849621
2022-12-15,127186.81336689727
2022-12-16,125896.08071093964
2022-12-19,127400.27902448911
2022-12-20,127607.71660764184
2022-12-21,124863.8434078579
2022-12-22,123820.4866381062
2022-12-23,121507.1795396039
2022-12-26,122161.23187017342
2022-12-27,121882.55078561837
2022-12-28,121687.12568805866
2022-12-29,121644.61052248292
2022-12-30,121352.46336188368
2023-01-02,121091.50069476262
2023-01-03,120594.49358735928
2023-01-04,119656.13466191878
2023-01-05,119694.95827431738
2023-01-06,119579.27426849716
2023-01-09,119483.16433951478
2023-01-10,119657.00084801762
2023-01-11,119842.94811363172
2023-01-12,119818.38380834126
2023-01-13,119669.23622746847
2023-01-16,119499.76297405416
2023-01-17,119601.01997766465
2023-01-18,119455.88940618053
2023-01-19,119473.98251844426
2023-01-20,118756.903601968
2023-01-23,118681.8650060692
2023-01-24,118531.92693380336
2023-01-25,118153.06952797493
2023-01-27,118406.52953611573
2023-01-30,118983.96123922204
2023-01-31,119362.32522256902
2023-02-01,120059.28019424072
2023-02-02,120072.28586350002
2023-02-03,119761.10998796117
2023-02-06,119740.5491053475
2023-02-07,119880.75458042257
2023-02-08,120134.46113177972
2023-02-09,120352.44960710894
2023-02-10,120140.6333183359
2023-02-13,120174.14751533268
2023-02-14,120250.60448683621
2023-02-15,119909.10804689645
2023-02-16,119990.35706663305
2023-02-17,119802.50120625658
2023-02-20,120259.29647665597
2023-02-21,120443.81428715032
2023-02-22,120830.88538099367
2023-02-23,120871.39298786726
2023-02-24,121079.76889718295
2023-02-27,121582.6792942372
2023-02-28,122283.6493552841
2023-03-01,123170.1013204368
2023-03-02,123415.30101951404
2023-03-03,124327.1989943578
2023-03-06,124469.91419937451
2023-03-08,124711.01285430476
2023-03-09,124651.40027545976
2023-03-10,124469.99844024015
2023-03-13,124124.68304894026
2023-03-14,124305.98084435172
2023-03-15,124494.96039246938
2023-03-16,124491.21523655027
2023-03-17,124437.35608740259
2023-03-20,124545.58495085037
2023-03-21,124487.98310762025
2023-03-22,124188.58072922299
2023-03-23,124172.43334806578
2023-03-24,124467.3571047771
2023-03-27,124333.98427763392
2023-03-28,124518.92974984126
2023-03-29,124941.54539302445
2023-03-31,124886.26505268391
2023-04-03,125036.45620342938
2023-04-05,124922.7916975058
2023-04-06,124748.94782185397
2023-04-10,125735.29377017861
2023-04-11,126085.50012816994
2023-04-12,126645.68756729206
2023-04-13,127016.13132668188
2023-04-17,127242.15092182258
2023-04-18,127585.48621170512
2023-04-19,127094.2220064426
2023-04-20,127237.1220095819
2023-04-21,126531.13740975434
2023-04-24,126782.75799773194
2023-04-25,127097.83992673883
2023-04-26,127293.63669820582
2023-04-27,127677.00520493748
2023-04-28,129140.958016551
2023-05-02,129593.83672433047
2023-05-03,128808.6264817873
2023-05-04,130211.68437215468
2023-05-05,130169.2634353359
2023-05-08,130375.39234628314
2023-05-09,130353.62247618422
2023-05-10,130576.43350211337
2023-05-11,132271.2816494664
2023-05-12,131676.71047776594
2023-05-15,131922.8697084725
2023-05-16,131754.98914165839
2023-05-17,131942.65404539072
2023-05-18,131013.20667548353
2023-05-19,132244.7497146623
2023-05-22,138849.202232373
2023-05-23,142501.30697010242
2023-05-24,141518.4014732354
