date,portfolio_value,cash
2013-02-19,160217.73300865467,24032.6599512982
2013-02-20,160685.24425031545,24102.786637547317
2013-02-21,158886.76595165904,23833.014892748855
2013-02-22,159252.48316942097,23887.872475413144
2013-02-25,159677.36210985418,23951.604316478126
2013-02-26,160637.5445085203,24095.631676278044
2013-02-27,160865.5661745586,24129.83492618379
2013-02-28,161956.24520510956,24293.436780766435
2013-03-01,162515.85338794522,24377.378008191783
2013-03-04,163546.67416888708,24532.001125333063
2013-03-05,164044.29510395668,24606.644265593502
2013-03-06,164580.7108777238,24687.106631658567
2013-03-07,165537.00052443848,24830.550078665772
2013-03-08,166109.01155863432,24916.351733795145
2013-03-11,165603.76537681842,24840.56480652276
2013-03-12,164529.87777978755,24679.48166696813
2013-03-13,163756.9085964381,24563.536289465712
2013-03-14,163937.84727104878,24590.67709065732
2013-03-15,163525.47926564125,24528.821889846186
2013-03-18,164246.03035095503,24636.904552643253
2013-03-19,164603.6595254291,24690.548928814365
2013-03-20,165138.03585402912,24770.70537810437
2013-03-21,165950.13833094502,24892.520749641753
2013-03-22,165781.6755987613,24867.251339814193
2013-03-25,166243.89021084423,24936.583531626635
2013-03-26,166978.8733099334,25046.83099649001
2013-03-28,168163.71341448513,25224.55701217277
2013-04-01,168268.59542170365,25240.289313255547
2013-04-02,168489.6074266974,25273.441114004607
2013-04-03,168749.14908628512,25312.372362942766
2013-04-04,169641.23954963632,25446.185932445445
2013-04-05,171264.99458692718,25689.749188039077
2013-04-08,171815.51849750525,25772.327774625788
2013-04-09,171942.5879532813,25791.388192992195
2013-04-10,172371.61798344788,25855.74269751718
2013-04-11,173139.5851731492,25970.937775972376
2013-04-12,173386.95671818775,26008.04350772816
2013-04-15,174851.94135512374,26227.79120326856
2013-04-16,175371.78462183615,26305.767693275422
2013-04-17,176323.7545468866,26448.56318203299
2013-04-18,177020.52103967447,26553.07815595117
2013-04-22,178371.13178623514,26755.66976793527
2013-04-23,178416.1177764814,26762.41766647221
2013-04-25,181216.05675561744,27182.408513342616
2013-04-26,179340.78784428778,26901.118176643165
2013-04-29,179861.6440449804,26979.24660674706
2013-04-30,181802.50538392976,27270.375807589462
2013-05-02,182761.83564835333,27414.275347253
2013-05-03,182171.20378332055,27325.680567498082
2013-05-06,183748.69369713924,27562.304054570886
2013-05-07,185295.12572227075,27794.268858340612
2013-05-08,185447.07586491763,27817.061379737643
2013-05-09,184834.4030751544,27725.16046127316
2013-05-10,186303.0846259313,27945.462693889694
2013-05-13,183278.85387819196,27491.828081728792
2013-05-14,183589.8551317612,27538.47826976418
2013-05-15,188146.48136789625,28221.972205184436
2013-05-16,190335.0395732344,28550.25593598516
2013-05-17,190932.43765524676,28639.865648287014
2013-05-20,190506.5886066057,28575.988290990856
2013-05-21,188420.74549496183,28263.11182424427
2013-05-22,186850.40960144097,28027.561440216145
2013-05-23,182780.2068618279,27417.031029274185
2013-05-24,183107.6771540108,27466.15157310162
2013-05-27,186349.95894479225,27952.493841718835
2013-05-28,187880.3191002065,28182.047865030978
2013-05-29,188110.24807209827,28216.53721081474
2013-05-30,188484.6552213678,28272.69828320517
2013-05-31,185156.8935109476,27773.534026642137
2013-06-03,182716.1805216268,27407.42707824402
2013-06-04,183466.54157797797,27519.981236696694
2013-06-05,184030.29631751345,27604.544447627017
2013-06-06,184024.6374203952,27603.695613059277
2013-06-07,184129.4676306763,27619.420144601445
2013-06-10,184794.93810676265,27719.240716014396
2013-06-11,186557.07500784716,27983.561251177074
2013-06-12,189281.0837167556,28392.162557513337
2013-06-13,189898.1580494948,28484.723707424222
2013-06-14,190270.2135452148,28540.53203178222
2013-06-17,190912.98248091256,28636.94737213688
2013-06-18,191225.4881693397,28683.823225400953
2013-06-19,191896.2362653464,28784.43543980196
2013-06-20,192392.9722209148,28858.94583313722
2013-06-21,192647.7510134134,28897.162652012008
2013-06-24,193125.927972681,28968.88919590215
2013-06-25,194545.2071313468,29181.78106970202
2013-06-26,194671.09789053025,29200.664683579536
2013-06-27,195717.36947310585,29357.605420965876
2013-06-28,196808.37340633888,29521.25601095083
2013-07-01,198171.85955810864,29725.778933716294
2013-07-02,196790.88736378244,29518.633104567365
2013-07-03,193851.54511280116,29077.731766920173
2013-07-04,193869.70073038025,29080.45510955704
2013-07-05,194540.20370421145,29181.030555631718
2013-07-08,192823.4207444107,28923.513111661603
2013-07-09,193686.79212207056,29053.018818310582
2013-07-10,192390.9565779096,28858.643486686437
2013-07-11,194442.9422455972,29166.44133683958
2013-07-12,195836.9014475923,29375.535217138844
2013-07-15,196737.2088090792,29510.58132136188
2013-07-16,195833.0771969308,29374.96157953962
2013-07-17,197854.8228234284,29678.22342351426
2013-07-18,198593.29510098387,29788.99426514758
2013-07-19,199047.7183452007,29857.157751780105
2013-07-22,199390.617612243,29908.592641836447
2013-07-23,200470.0198732248,30070.50298098372
2013-07-24,199873.43315510923,29981.014973266385
2013-07-25,197075.1283938403,29561.269259076045
2013-07-26,195526.78573948183,29329.017860922275
2013-07-29,196697.24643531477,29504.586965297214
2013-07-30,196609.74363405135,29491.4615451077
2013-07-31,198239.091533598,29735.8637300397
2013-08-01,200202.56857048837,30030.385285573255
2013-08-02,203262.5856033726,30489.38784050589
2013-08-05,203480.86600813485,30522.129901220225
2013-08-06,204891.54683339427,30733.73202500914
2013-08-07,205556.5492220786,30833.48238331179
2013-08-08,206533.8753749675,30980.081306245123
2013-08-12,207109.6558949026,31066.448384235387
2013-08-13,208025.13728831528,31203.77059324729
2013-08-14,208021.12082206205,31203.168123309304
2013-08-16,208674.4413945863,31301.16620918794
2013-08-19,209526.3426691937,31428.951400379054
2013-08-20,209805.9313381377,31470.889700720654
2013-08-21,210965.8441590867,31644.876623863005
2013-08-22,211715.33316558797,31757.299974838195
2013-08-23,212862.92491957525,31929.438737936285
2013-08-26,212912.25893099728,31936.83883964959
2013-08-27,215346.95372362903,32302.043058544354
2013-08-28,216731.07943967835,32509.66191595175
2013-08-29,217270.4560093613,32590.568401404194
2013-08-30,220071.35271908191,33010.70290786229
2013-09-02,222058.8756282841,33308.831344242615
2013-09-03,223264.00108356008,33489.600162534014
2013-09-04,224100.48469762623,33615.072704643935
2013-09-05,227490.32436539163,34123.54865480874
2013-09-06,228431.07718458035,34264.66157768705
2013-09-10,235881.4582412264,35382.21873618396
2013-09-11,239476.60945079508,35921.49141761926
2013-09-12,234774.45401968184,35216.16810295227
2013-09-13,234589.0827955226,35188.36241932839
2013-09-16,233982.030778979,35097.30461684685
2013-09-17,234077.1145613543,35111.567184203144
2013-09-18,236629.78216010547,35494.46732401582
2013-09-19,243015.7667827967,36452.365017419506
2013-09-20,240833.19300284816,36124.97895042722
2013-09-23,237896.9080590589,35684.53620885883
2013-09-24,238089.38188992444,35713.40728348866
2013-09-25,238362.978365738,35754.4467548607
2013-09-26,238415.15230514205,35762.27284577131
2013-09-27,237189.20355508133,35578.3805332622
2013-09-30,233777.22706928625,35066.58406039294
2013-10-01,234260.392057152,35139.0588085728
2013-10-03,239139.38670619595,35870.90800592939
2013-10-04,240521.0605337777,36078.15908006665
2013-10-07,242295.71459633825,36344.35718945073
2013-10-08,241356.3009773625,36203.445146604376
2013-10-09,243894.801489024,36584.22022335359
2013-10-10,244337.27013717653,36650.59052057648
2013-10-11,244879.96186866332,36731.9942802995
2013-10-14,244870.5498513376,36730.582477700635
2013-10-15,245528.99813124823,36829.349719687234
2013-10-17,244208.3212573379,36631.248188600686
2013-10-18,250148.45578138105,37522.26836720716
2013-10-21,253269.0602712533,37990.35904068799
2013-10-22,253486.30194710373,38022.94529206556
2013-10-23,252519.8522245831,37877.977833687466
2013-10-24,252364.0661408258,37854.60992112387
2013-10-25,248662.9626655722,37299.44439983583
2013-10-28,249176.90729054628,37376.53609358194
2013-10-29,253913.79200616785,38087.068800925175
